INSERT INTO book_sales_info
(bsi_seq, bsi_sales_amount, bsi_bbi_seq)
(1, 1240, 1),
(2, 12350, 2),
(3, 13670, 3),
(4, 21210, 4),
(5, 654320, 5),
(6, 654210, 6),
(7, 12560, 7),
(8, 123570, 8),
(9, 354580, 9),
(10, 654870, 10),
(11, 654210, 11),
(12, 651210, 12),
(13, 54220, 13),
(14, 12350, 14),
(15, 121120, 15),
(16, 12310, 16),
(17, 123560, 17),
(18, 213450, 18),
(19, 31230, 19),
(20, 12350, 20),
(21, 63540, 21),
(22, 122560, 22),
(23, 121120, 23),
(24, 312220, 24),
(25, 12310, 25),
(26, 36160, 26),
(27, 71360, 27),
(28, 232130, 28),
(29, 64560, 29),
(30, 12680, 30),
(31, 61620, 31),
(32, 12360, 32),
(33, 1230, 33),
(34, 35150, 34),
(35, 1250, 35),
(36, 5670, 36),
(37, 1120, 37),
(38, 12320, 38),
(39, 120, 39),
(40, 1230, 40),
(41, 31230, 41),
(42, 1250, 42),
(43, 12340, 43),
(44, 12560, 44),
(45, 1230, 45),
